書名,作者
與成功有約：高效能人士的七個習慣（30週年全新增訂版）,"史蒂芬‧柯維,西恩‧柯維"
紅色鋼鐵人 潘孟安,侯千絹
"全新制7,000單字放口袋：完全收錄108新課綱單字(附防水書套+「Youtor App」內含VRP虛擬點讀筆)(二版)","蘇秦,Chris Forbrook"
迷航烏托邦：科技世界讓人生迷路，但你依舊還可以很幸福,葉向林Noah
寰宇情懷：創投教父劉宇環的卓越人生,"劉宇環,楊艾俐"
獨立，不等於跟愛情誓不兩立！「葳老闆」周品均的30道戀愛辣雞湯,周品均
我可能錯了：森林智者的最後一堂人生課,"比約恩．納提科．林德布勞,卡洛琳．班克勒,納維德．莫迪里"
逆思維：華頓商學院最具影響力的教授，突破人生盲點的全局思考【博客來獨家書封版】,亞當．格蘭特
活得像個穿制服的人：我是警察,王惀宇
原子習慣：細微改變帶來巨大成就的實證法則,詹姆斯‧克利爾
老外在用最高頻率英文使用書：2億字資料庫分析，最多美國人選擇的表達方式，照著說安心不出錯！（附QR碼線上音檔）,"高橋基治,阿部一"
蛤蟆先生去看心理師（暢銷300萬冊！英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組）,羅伯．狄保德
黃泉使者 1(首刷限定版),荒川 弘
光逝去的夏天 (1),モクモク れん
特殊傳說Ⅲ vol.06,護玄
IELTS 雅思致勝寶典：圖解聽說讀寫攻略+ 4回完勝     模擬試題-試題本+解析本+ QR Code線上音檔,"Andrew Betsis,Lawrence Mamas,賴世雄"
從一個沒有名字的病開始：新冠疫情，人類的奇幻之旅，終結與再出發,何美鄉
玉米田裡的小男孩：從玉米田到哈佛,陳俊龍
臺灣新冠疫情的衝擊與反思,邱淑媞
關於我在無意間被隔壁的天使變成廢柴這件事 7,佐伯さん
發現美好戀情！Re:(02)END限定版,ひなこ
別對每件事都有反應：淡泊一點也無妨， 活出快意人生的99個禪練習！,枡野俊明
原力效應：3步驟改變你的世界,愛瑞克
洛克菲勒寫給兒子的三十封信(新版),約翰‧D‧洛克菲勒
死亡筆記本短篇集 全,"大場鶇,小畑健"
這樣開會，最聰明！：有效聆聽、溝通升級、超強讀心，史上最不心累的開會神通100招！,莎拉‧古柏
今文觀止：試從故紙看今朝,張作錦
洪惠風醫師心臟保健室：控制三高、平衡自律神經，從心臟病的預防、診斷、治療到延緩老化的專業建議,洪惠風
在家練肌力，體脂少10%：2天練1次，效果最好！26個燃脂動作X 14組速效練肌操，增肌‧減脂‧練線條，一次到位！,森俊憲
關於我在無意間被隔壁的天使變成廢柴這件事 1,佐伯さん
關於我在無意間被隔壁的天使變成廢柴這件事 2,佐伯さん
關於我在無意間被隔壁的天使變成廢柴這件事 3,佐伯さん
神明值日生執勤中,青山美智子
神明在看著呢：我的巫女日記（獨家作者親簽版）,洪承喜
臺灣的勝算：以小制大的不對稱戰略，全臺灣人都應了解的整體防衛構想,李喜明
底層邏輯：看清這個世界的底牌,劉潤
宗門屑語：四十年習佛錄影【壹】,王薀
稻盛和夫 工作的方法：了解工作的本質，實踐自我，從平凡變非凡的成長方程式,稻盛和夫
你會坦然面對，每一場告別,角子
尋找永續企業之道：企業長壽、持續獲利的本質,詹志輝
全新！新制多益 TOEIC 單字大全 ：備考多益唯一推薦權威單字書！不論題型如何變化，內容持續更新，常考字彙表達完全掌握，準確度最高！（附音檔下載QR碼）,David Cho
原來古人這麼機智：閱讀經典《智囊》故事，建立自主思辨力,謝武彰
如果歷史是一群喵(11)：南宋金元篇【萌貓漫畫學歷史】,肥志
蔣介石：失敗的勝利者,亞歷山大．潘佐夫
智慧型手機知識碎片化時代的「閱讀力」最新技術大全：把現代病「無法集中」轉為個人智能，「輸入」與「輸出」最大化！,佐佐木俊尚
再見繪梨 全 (首刷限定版),藤本樹
鏈鋸人【1-11集第一部完】,
神奇柑仔店13：合身花生與神祕實驗,廣嶋玲子
克里姆林宮的餐桌,維特多．沙博爾夫斯基
國中英語文法通3(新課綱版)(二版),賴玲珠
第8個習慣：從成功到卓越,史蒂芬．柯維
神奇柑仔店14：炫耀餅乾的副作用,廣嶋玲子
上班族提早退休金錢課：富媽媽十方教你加速養大有限收入，博無限自由,李雅雯（十方）
靈界運作：全面理解靈界生態，同步保護並健全自己的能量，讓身心再進化,小湛
全新制怪物講師教學團隊的TOEIC多益5回全真模擬試題+解析【修訂版】（2書＋1CD＋文法教學影片＋「Youtor App」內含VRP虛擬點讀筆＋防水書套）,"林政翰,怪物講師教學團隊（台灣）"
讀出英語核心素養 1：九大技巧打造閱讀力（16K+寂天雲隨身聽APP）,"Owain Mckimm,Zachary Fillingham,Laura Phelps ,Rob Webb ,Richard Luhrs"
差點在迷宮深處被信任的夥伴殺掉，但靠著天賜技能「無限扭蛋」獲得等級9999的夥伴，我要向前隊友和世界展開復仇&「給他們好看！」 1 (首刷限定版),明鏡シスイ
不便利的便利店,金浩然
鏈鋸人 12(首刷限定版),藤本樹
鱷眼晨曦（首刷限量作者親簽版）,張貴興
被討厭的勇氣：自我啟發之父「阿德勒」的教導,"岸見一郎,古賀史健"
窮人的經濟學：如何終結貧窮？,"阿比吉特‧班納吉,艾絲特‧杜芙若"
耳鳴，是救命的警鈴：耳鳴不需要根治，也不必恐慌，剛剛好的耳鳴，是你最忠實的健康守護者！台灣耳科權威教你不吃藥破解耳鳴的迷思！,賴仁淙
投資最重要的事：一本股神巴菲特讀了兩遍的書,霍華．馬克斯
關於我在無意間被隔壁的天使變成廢柴這件事 4,佐伯さん
看西遊，學成語,李光福 　
關於我在無意間被隔壁的天使變成廢柴這件事 5.5,佐伯さん
餘生是你 晚點沒關係,黃山料
《灌籃高手完全版》電影上映紀念套書(全24冊),井上雄彥
勇者鬥惡龍 達伊的大冒險 勇者阿邦與獄炎魔王(04),"三条陸,芝田優作"
診療室裡的傷痕：25個人生檔案的修復練習,楊重源
過敏的大腦：身體出問題，原來是因為大腦過敏了！台灣耳科權威教你徹底擺脫暈眩、耳鳴、偏頭痛的煩惱！,賴仁淙
謝謝你來當我的寶貝（10萬冊紀念版）,西元洋
國小必學500英語單字練習簿,
徒手治療椎間盤突出：不開刀的預防、保健與物理治療方法,"張光祖,郭惠雯"
織品文物專有名詞圖典,何兆華
跟讀學文法：用母語人士的方法學英文，不用想、直接說，就是正確的文法！（附慢速、正常速朗讀音檔QR碼連結）,外文列車
不時輕聲地以俄語遮羞的鄰座艾莉同學 (4),燦燦SUN
晨碎（限量贈品，典藏燙金精裝版，颶光典籍系列外傳）,布蘭登．山德森
蔡康永的情商課：為你自己活一次,蔡康永
幼兒班級經營：省思理念取向,廖信達
獨裁者的廚師,維特多．沙博爾夫斯基
與成功有約＋與成功有約祕密版（2冊）,"史蒂芬．柯維,西恩．柯維"
從零開始，用YouTube影片學日文：日語名師井上一宏為零基礎自學者設計的22堂線上影音課,井上一宏
龍德上師大圓滿：普賢上師言教集(上下不分售),巴楚仁波切
關於我在無意間被隔壁的天使變成廢柴這件事 5,佐伯さん
核心逆齡 節拍超慢跑：徒手慢養好肌力，幫你去油肚、解疼痛、降三高、增加骨密度與代謝力，抗老化擺脫肌少症！,徐棟英
從讀書到考試，你可以更好！找回動力、高效學習，提高成就感的學霸5大科致勝筆記,"未秧Winter,湛樺"
ONE PIECE航海王 104,尾田榮一郎
最強魔法師的隱遁計畫 15,イズシロ
全新！新制多益TOEIC聽力／閱讀題庫解析【博客來獨家套書】：全新收錄精準 10 回模擬試題！徹底反映命題趨勢、大幅提升實戰能力！（附2 MP3＋音檔下載QR碼）,Hackers Academia
OVERLORD (16) 半森林精靈的神人 下,丸山くがね
Sword Art Online 刀劍神域 (26) Unital ring Ⅴ,川原礫
完全圖解1小時學會英文文法,波嘉妮‧蒙席拉巴莎特
國考申論式空白作答紙(6份),三民輔考製作團隊
巴菲特寫給股東的信〔全新增修版〕,"華倫‧巴菲特,勞倫斯‧康漢寧"
世界最強英文溝通技巧：食、衣、住、行、育、樂、職都能輕鬆表達的英語會話指南(附1張「用英文開口說遊樂地圖」及「Youtor App」內含VRP虛擬點讀筆),蔡詠琳
關於我在無意間被隔壁的天使變成廢柴這件事 6,佐伯さん
雙語教育完整手冊：一本教育主管、教學者、家長、學生必備的手冊,"陳超明,馬可珍"
別讓自責成為一種習慣：放過自己的100個正向練習,根本裕幸
